firmware_id,drone_vendor,drone_model,firmware_version,file_name,file_format,file_size_bytes,sha256_hash,is_signed,signature_type,encryption_used,compression_used,cpu_architecture,os_type,bootloader_present,filesystem_detected,entropy_score,avg_section_entropy,max_section_entropy,string_count,num_executables,num_scripts,hardcoded_ip_count,hardcoded_url_count,crypto_function_count,boot_time_ms,emulated_syscalls,clean_label
FW0023,DJI,Phantom 4,v1.9.6,dji_phantom_4_23.img,img,15068673,7e8c793f051008ba4a868c6f33fcf56dd5034a98045425b2955895d07d316a70,1,ECDSA,0,1,MIPS,RTOS,1,YAFFS,6.66,6.75,7.68,9226,8,1,1,1,36,918,149,1
FW0024,PX4,Pixhawk 6,v2.9.8,px4_pixhawk_6_24.fw,fw,7537982,e743e19eac2d93534e02aaaa9b02e2dcf7abf4de82c0d101ac0557862809d25b,1,RSA,1,0,ARM,Bare-metal,1,YAFFS,6.02,6.28,6.86,14422,6,1,1,1,26,2352,121,1
FW0025,ArduPilot,Cube Black,v5.0.5,ardupilot_cube_black_25.bin,bin,17780878,7e4b3d38ac174a3564a83b1ff56b0cf8f556f26d87f8a92231b6f5f0fb291a7f,1,RSA,0,0,ARM,Linux,1,SquashFS,7.14,6.56,7.06,17517,2,1,1,2,21,2310,92,1
FW0026,DJI,Phantom 4,v1.4.9,dji_phantom_4_26.img,img,5627192,f791963b8c5353859141d0769f305be2aaf2180c425ae7772473b036c94a6eba,1,ECDSA,1,0,ARM,Bare-metal,1,None,7.13,5.91,7.57,11882,2,0,1,2,32,2317,67,1
FW0027,PX4,Pixhawk 4,v1.6.5,px4_pixhawk_4_27.img,img,29592846,46d1320f98d2eab9a1c527705fb9abe6211e3c064e0e0a9097e9fc51dfa7295c,1,ECDSA,0,1,ARM,Bare-metal,1,None,7.34,5.96,7.69,19634,8,3,1,2,22,2120,268,1
FW0028,Parrot,Anafi,v2.7.9,parrot_anafi_28.img,img,31582633,8ba4411f2d3dc7c26dab47b3e397f07232e853bb3e381c1bec480a9963464ded,1,ECDSA,1,0,MIPS,RTOS,1,SquashFS,6.58,6.1,7.08,11163,5,0,0,0,20,2464,175,1
FW0029,Parrot,Bebop 2,v4.0.1,parrot_bebop_2_29.fw,fw,25885467,b5df5ba1aa0e722d7f0b7c5dfd03f3098841fcfd0b4d6fab20d30d472c2abc48,1,ECDSA,0,1,ARM,RTOS,1,None,6.73,6.3,7.38,15942,6,2,1,1,24,1829,109,1
FW0030,DJI,Mini 3,v5.2.3,dji_mini_3_30.bin,bin,12588032,810a2ffbc66d8debc34d8bec38654a12078b691650755ee51532092126c62b1b,1,RSA,1,1,MIPS,Linux,1,SquashFS,6.27,6.11,7.13,19502,3,2,0,0,40,1996,228,1
FW0031,Parrot,Bebop 2,v5.4.7,parrot_bebop_2_31.bin,bin,31283615,00538400dc2849bda829f892ed45f50c14022b5740e7bc4de03da30df03de469,1,ECDSA,1,1,ARM,Linux,1,YAFFS,7.31,6.31,7.7,15130,8,0,0,0,14,2044,71,1
FW0032,Parrot,Anafi,v5.9.9,parrot_anafi_32.fw,fw,27650465,7c8fd454d72aa217ddc6154e0358cc8598e5561926a56b7a078c0841877c2e3f,1,RSA,1,1,MIPS,RTOS,1,None,7.38,6.02,7.48,5251,4,1,1,2,10,1443,111,1
FW0033,Parrot,Anafi,v4.9.7,parrot_anafi_33.bin,bin,2089782,bcf8b45cb744d916bf9aeba9373b3607bed5911f866f37e0b9c561a72dc493b6,1,ECDSA,0,0,MIPS,Bare-metal,1,YAFFS,6.92,6.27,7.56,10668,4,3,0,2,19,1410,282,1
FW0034,PX4,Pixhawk 4,v3.9.9,px4_pixhawk_4_34.bin,bin,4001120,ee73c3af6b5ad69cd45eb5e7d939226a19546c28801875d7187384e347d95bf9,1,ECDSA,1,0,MIPS,Bare-metal,1,YAFFS,6.92,7.1,7.35,18180,8,0,0,1,25,1825,56,1
FW0035,DJI,Phantom 4,v5.0.4,dji_phantom_4_35.fw,fw,30050116,59a30b13fc7ec69b705e0c8611d5a1517aef81eb7e6365e2e3a8efcf31e1e575,1,RSA,0,1,MIPS,RTOS,1,SquashFS,7.4,6.24,7.7,4989,8,2,1,1,25,1228,269,1
FW0036,Parrot,Bebop 2,v3.6.8,parrot_bebop_2_36.img,img,25275826,4e240f97917a6a6f8223eb9231cfab1a7912e79456a8b173037f1848b4c03a27,1,RSA,1,0,MIPS,RTOS,1,YAFFS,5.99,6.81,7.75,2037,8,3,0,0,38,2281,209,1
FW0037,ArduPilot,Cube Black,v5.2.4,ardupilot_cube_black_37.bin,bin,8830281,bd708c4f31f85a372cff46d9774891ded16178292f0415d24d5019ed488678ab,1,ECDSA,1,0,ARM,Bare-metal,1,None,7.08,6.71,7.14,2448,7,0,0,0,34,1281,215,1
FW0038,Parrot,Bebop 2,v3.6.7,parrot_bebop_2_38.fw,fw,11793248,c4688ae99fd4bda394a90d3d06b1264d5d44c08758a69ad50c5971ec6cb07e17,1,ECDSA,0,1,ARM,RTOS,1,SquashFS,7.27,6.36,7.77,4287,5,3,1,2,22,810,122,1
FW0039,PX4,Pixhawk 6,v4.5.5,px4_pixhawk_6_39.bin,bin,16983644,4dad867f1a3ad64e19cd3391a191a61fdcf901026d0f1078e62d14a4c3505b2b,1,ECDSA,1,1,ARM,Bare-metal,1,SquashFS,6.71,5.9,7.65,3430,6,3,1,1,14,2828,296,1
FW0040,DJI,Phantom 4,v1.7.1,dji_phantom_4_40.fw,fw,21803169,e6a682746806709eb9facbde7353d4cc86c020d40dc6c23a078718361a56174e,1,ECDSA,0,0,MIPS,Bare-metal,1,SquashFS,5.92,6.83,7.09,15024,2,2,1,1,36,947,208,1
FW0041,DJI,Phantom 4,v2.1.6,dji_phantom_4_41.fw,fw,24964638,11af1ed4de5fda9a9064c196dcf9b779bcb0abe220646a09ec861026a1e75707,1,RSA,0,1,ARM,Bare-metal,1,YAFFS,7.25,5.58,7.68,11613,6,2,1,0,20,2975,155,1
FW0042,Parrot,Anafi,v4.9.3,parrot_anafi_42.bin,bin,4649738,26bee818fb0ec04e5e95d7b50e47e73bf2eb098cb1738417264d2c14c0f02e6c,1,ECDSA,0,0,MIPS,Bare-metal,1,YAFFS,6.54,6.63,7.79,17245,5,1,0,1,27,2025,213,1
FW0043,ArduPilot,Cube Black,v2.6.7,ardupilot_cube_black_43.img,img,30363693,331a0189fe9655c46e213cf6b7dd7f8e13affdba0a6eaeaf2913a2a4de413890,1,RSA,0,1,MIPS,Bare-metal,1,YAFFS,7.39,6.0,7.88,14969,5,0,0,2,36,1972,248,1
FW0044,Parrot,Bebop 2,v5.4.2,parrot_bebop_2_44.bin,bin,23361351,d06885e8235f67640c617da4fdaab40154bbb0cb9f37411b24657f26b1591d30,1,RSA,0,1,MIPS,Linux,1,None,6.38,5.72,7.8,12705,7,1,0,0,39,2298,185,1
FW0045,PX4,Pixhawk 4,v3.5.1,px4_pixhawk_4_45.img,img,29671998,7a3e110115428b1ce22746ee1dd83c8fd7aea7b427e4cbce01b2f147da9bdd35,1,ECDSA,0,0,ARM,Bare-metal,1,None,6.88,6.18,7.73,13985,2,3,0,1,39,1306,166,1
FW0046,PX4,Pixhawk 6,v1.3.7,px4_pixhawk_6_46.fw,fw,14785094,dd6c038b12846474952c4540ed07f6ec7017f5fe8333aadbd65a6f7bd806037a,1,RSA,1,0,ARM,Bare-metal,1,YAFFS,7.26,6.01,7.25,6580,1,0,1,1,12,1198,110,1
FW0047,Parrot,Bebop 2,v4.9.2,parrot_bebop_2_47.img,img,14449080,750e9c4b73712ea73d4c0b668fb11bdf0c10e2507e9724699387001314f636b5,1,ECDSA,0,1,MIPS,RTOS,1,SquashFS,6.9,5.87,7.29,9736,6,0,1,2,27,1048,151,1
FW0048,PX4,Pixhawk 4,v1.3.9,px4_pixhawk_4_48.bin,bin,30455271,9eebf666d55b7d18c74f26ba2d38d89113d12c147c430abdaab7a507c075dc2d,1,RSA,0,1,ARM,Linux,1,None,6.13,6.91,7.41,9076,4,2,0,2,5,1935,269,1
FW0049,Parrot,Anafi,v1.0.2,parrot_anafi_49.fw,fw,10410559,31d7662121729f698a686d7b74f0047bdfb09b38b073249b1b03954f277c0a9a,1,RSA,1,0,MIPS,Linux,1,SquashFS,6.22,5.72,7.26,5724,2,3,1,1,37,1246,165,1
FW0050,Parrot,Anafi,v3.7.0,parrot_anafi_50.fw,fw,28280736,f34e6a5bb4c383f70da1bada9f5f6426e572ec6d866dfb26a6af4de2174dce5f,1,RSA,1,1,MIPS,Bare-metal,1,SquashFS,6.58,7.05,6.88,4647,6,1,0,0,22,2131,147,1
FW0051,PX4,Pixhawk 6,v1.1.8,px4_pixhawk_6_51.fw,fw,22314752,4765783d166629d657a372032433d2782683b3c6f835797f20a54340faad584c,1,RSA,1,1,ARM,RTOS,1,YAFFS,7.12,6.18,7.6,12241,7,2,1,1,14,2742,67,1
FW0052,DJI,Phantom 4,v3.2.8,dji_phantom_4_52.bin,bin,16491371,ed695e75ed728eb85666b628c25a12cec2a574034a846bd6c3d2ec2f95c23186,1,RSA,1,0,MIPS,RTOS,1,None,7.31,6.22,7.81,3685,5,2,1,0,37,1671,89,1
FW0053,ArduPilot,Cube Orange,v3.1.4,ardupilot_cube_orange_53.bin,bin,13747876,625d8b0effb85c1d2157e2ea09dbfabb982734817255a2b69b187f6ecf0b1a0c,1,RSA,1,0,MIPS,Linux,1,SquashFS,6.24,6.8,7.81,13502,1,1,0,2,30,1085,86,1
FW0054,DJI,Phantom 4,v4.6.7,dji_phantom_4_54.fw,fw,19800045,b65e9b25e74f5f8ebf1465667c9e4e81a332508dc6170b9ece14e41cd138a4e3,1,ECDSA,0,1,MIPS,Bare-metal,1,YAFFS,7.04,6.46,6.89,3723,3,1,0,2,10,1914,163,1
FW0055,ArduPilot,Cube Black,v3.3.8,ardupilot_cube_black_55.fw,fw,16832541,f162d95073c10b0f4c6bb0a69027a8cfd5c7d71deadabb70d8f6c388186ee9a3,1,RSA,1,1,ARM,RTOS,1,None,6.89,6.33,7.53,3488,4,3,0,0,18,2034,292,1
FW0056,Parrot,Anafi,v1.0.7,parrot_anafi_56.img,img,11712234,914aac499c71f63a4c50f35df96f1b121fde6bafc364b0e15678d1f1efb56b9d,1,ECDSA,0,0,MIPS,Bare-metal,1,None,6.17,6.45,7.53,13605,2,3,0,1,6,2683,285,1
FW0057,DJI,Mavic Pro,v4.6.4,dji_mavic_pro_57.fw,fw,16404390,32b4b0cee86bdd00d4f766b3dfdaec1ee0784d978c5f2d4acfeac2ae7b31b05e,1,RSA,1,0,MIPS,Linux,1,None,6.54,6.67,7.2,16310,2,1,1,2,30,2946,70,1
FW0058,ArduPilot,Cube Black,v3.2.1,ardupilot_cube_black_58.fw,fw,13392175,cf61527e714848e0b7d492c4d9dae8bc0b1c2e50fa17311eefff175a75081d9e,1,RSA,0,1,MIPS,Bare-metal,1,None,7.1,5.9,6.96,8464,3,1,0,0,36,2700,243,1
FW0059,ArduPilot,Cube Black,v4.1.7,ardupilot_cube_black_59.fw,fw,12607861,d26a69781288d327d88cee9548734cb5bf67c6d62401e8126aa906d61e656658,1,ECDSA,1,1,ARM,RTOS,1,None,5.92,6.28,6.84,14082,5,0,0,2,37,2374,168,1
FW0060,DJI,Mavic Pro,v3.9.7,dji_mavic_pro_60.fw,fw,23872035,6c1616f3c08bdb5457b95a986a2d5fd6d4dd661f2b10755c8d3e6c512d267869,1,RSA,0,1,ARM,RTOS,1,None,5.93,6.6,6.84,16344,8,1,1,1,23,2386,154,1
FW0061,PX4,Pixhawk 4,v1.5.1,px4_pixhawk_4_61.fw,fw,23719963,05176810fa181188ae26f30c040c70e9ca3481a886fe91fa4fb98b4e63c4025d,1,ECDSA,1,1,ARM,RTOS,1,SquashFS,6.73,5.74,7.18,14843,3,0,1,2,29,2145,258,1
FW0062,Parrot,Anafi,v5.5.0,parrot_anafi_62.fw,fw,24496771,411fb042946f9c38807b96a8dbb225b5303a1f248470931b09a5746d77dca21b,1,ECDSA,1,0,ARM,RTOS,1,YAFFS,6.11,7.2,6.97,11692,2,0,1,2,13,2343,89,1
FW0063,Parrot,Anafi,v4.0.6,parrot_anafi_63.fw,fw,27873749,15a263e78f7e6b5b6d28d7814bd047e0f3b79f55b2427d38753002e7fb3445d7,1,ECDSA,0,1,MIPS,Bare-metal,1,YAFFS,6.17,5.91,7.86,17368,4,2,1,1,23,2364,178,1
FW0064,ArduPilot,Cube Orange,v2.4.0,ardupilot_cube_orange_64.bin,bin,28885798,34679cdb7d91db0a47fcc601f75bc41d7aa0f8ea5a1fb299eeb2dec249b33e46,1,ECDSA,1,0,ARM,RTOS,1,SquashFS,7.02,5.96,7.8,6828,7,0,0,1,27,909,156,1
FW0065,DJI,Mavic Pro,v4.1.5,dji_mavic_pro_65.fw,fw,14548065,60ab739668f877e6cd406de3f26244e3aacc0af0838e03221a7bfe99c6a76ed5,1,RSA,0,1,ARM,Bare-metal,1,None,6.34,5.75,6.84,17481,3,3,1,2,5,1124,54,1
FW0066,PX4,Pixhawk 4,v5.6.1,px4_pixhawk_4_66.bin,bin,20414814,a38f78cf305ffc50ee392a5d9e4b11c7a90b7a7fd2715ddcd1ad365bc83b7fbb,1,ECDSA,0,1,ARM,Linux,1,SquashFS,6.47,6.85,7.3,5632,8,0,0,2,14,1993,159,1
FW0067,DJI,Mini 3,v4.2.1,dji_mini_3_67.img,img,10071996,61882be69a607f2f6280236346338c5d4a21590431d4075bc210cdb6f75f49f4,1,ECDSA,0,0,MIPS,RTOS,1,SquashFS,6.82,7.17,7.08,2532,6,0,1,0,11,2161,84,1
FW0068,DJI,Mavic Pro,v4.7.2,dji_mavic_pro_68.fw,fw,13359760,9bb9105f13054b9330e3709c1aa1d2ecaba57bb304d9415583eaf8f7df4e0b44,1,RSA,0,1,ARM,RTOS,1,SquashFS,5.87,5.84,6.85,12160,7,3,1,0,17,1971,141,1
FW0069,DJI,Mini 3,v3.6.6,dji_mini_3_69.img,img,11167628,9934aaa3afa0aa363d0659c986d08f9c6908e3bc00ebdbb4b95997db73a928e5,1,ECDSA,1,1,ARM,RTOS,1,None,6.6,7.07,7.37,4707,7,0,1,2,16,2003,132,1
FW0070,DJI,Phantom 4,v3.7.9,dji_phantom_4_70.img,img,24176769,7072f3b7a91302ef8a446701922b5d948f16828dc759484957059273a16a07e8,1,ECDSA,0,1,MIPS,RTOS,1,SquashFS,6.96,7.05,7.48,16252,5,0,0,2,30,2288,181,1
FW0071,Parrot,Anafi,v4.0.2,parrot_anafi_71.bin,bin,30476616,27e5f627ef495c8c1f6821aa876119c3660dec349971848e88664eae655b5c79,1,RSA,0,1,MIPS,RTOS,1,None,5.85,5.76,7.29,14155,6,3,0,2,13,2968,143,1
FW0072,ArduPilot,Cube Black,v1.0.2,ardupilot_cube_black_72.fw,fw,11351276,15070caba56f979840498d011aab7a81da58152fb127bf8779705b75fd58a23c,1,ECDSA,1,0,MIPS,RTOS,1,None,6.51,7.19,7.11,18095,4,0,0,0,33,1507,280,1
FW0073,ArduPilot,Cube Orange,v3.1.8,ardupilot_cube_orange_73.fw,fw,30370984,3e031faf7e8fdb27bbadad6fbcb47b64dbfcc1b397899a9bb5219d294fd30702,1,ECDSA,1,0,ARM,RTOS,1,None,6.16,7.17,7.67,9757,8,0,1,2,28,2714,255,1
FW0074,Parrot,Anafi,v4.8.6,parrot_anafi_74.bin,bin,12378074,c2b4586b3b2c99c7e49c1045b97f2ccf210891c4e5df7bb8e24b38fdbc98e046,1,ECDSA,0,0,MIPS,Bare-metal,1,SquashFS,6.52,6.66,7.18,7962,3,3,0,0,38,1426,127,1
FW0075,Parrot,Anafi,v3.8.4,parrot_anafi_75.img,img,25801236,8d36fdaa0480727e905a7b2beffb2b5a6c93e1609d0d460de479360b30e9fe33,1,RSA,1,0,MIPS,Linux,1,None,6.28,6.41,7.35,7525,3,1,1,2,7,916,70,1
FW0076,DJI,Mini 3,v5.6.9,dji_mini_3_76.fw,fw,10880378,81140ec718780a9249e7feed0f7ce09bbd20c2d116719d9c1f8e340364646128,1,RSA,1,1,MIPS,RTOS,1,SquashFS,7.09,6.66,7.13,4391,1,1,1,1,35,2702,102,1
FW0077,PX4,Pixhawk 4,v3.6.2,px4_pixhawk_4_77.img,img,30906642,edb7440d881afc36d1a1dcad65add9138d7fe53b8897b9befcda4023dce8f027,1,ECDSA,0,1,ARM,RTOS,1,SquashFS,6.23,5.92,6.91,11509,7,3,0,0,25,2080,98,1
FW0078,Parrot,Bebop 2,v3.7.0,parrot_bebop_2_78.fw,fw,17663716,7fb0736ef89ad94cd82c0baaa5bb7b033d78aba848fd93935a540fe0a0e277d6,1,RSA,1,1,ARM,Linux,1,None,6.36,5.59,7.34,17420,5,0,0,1,13,1883,236,1
FW0079,PX4,Pixhawk 6,v1.9.8,px4_pixhawk_6_79.img,img,3518082,38131c96fef6ad4adf69fea95aafbd6197506261fad4351567f27dca57a30aad,1,RSA,1,1,ARM,RTOS,1,None,6.52,6.43,7.71,5893,3,0,1,1,26,2297,243,1
FW0080,Parrot,Anafi,v5.0.0,parrot_anafi_80.fw,fw,19083316,227b4d7568e5443ee3733e48220c078f19d9ae765ef5b0dd1b982d8f726dbfcf,1,RSA,0,1,MIPS,Bare-metal,1,YAFFS,6.04,7.02,6.95,12437,3,3,1,2,26,2877,262,1
FW0081,ArduPilot,Cube Black,v3.5.1,ardupilot_cube_black_81.img,img,29371988,ea4f8fe18469ce59adcddc356cc265bdd18a0329cd33bca965d960fcdc845087,1,ECDSA,1,0,MIPS,RTOS,1,None,7.05,6.82,7.44,3682,8,1,1,0,20,929,196,1
FW0082,DJI,Phantom 4,v4.2.6,dji_phantom_4_82.bin,bin,16798798,2563310889a680fb6e1ab93c8a88aa052275b41c76332f78514501823f8cb31b,1,RSA,1,1,ARM,Bare-metal,1,SquashFS,6.63,6.45,7.9,17675,7,2,0,1,39,2202,189,1
FW0083,PX4,Pixhawk 6,v2.4.8,px4_pixhawk_6_83.fw,fw,18246388,e6931c266dd799b3a7111a101ee4db372a00cd069845ab4affffafb586d4c25c,1,ECDSA,0,1,MIPS,Bare-metal,1,SquashFS,6.9,6.33,7.33,10960,5,0,1,1,27,1399,124,1
FW0084,DJI,Mavic Pro,v4.4.7,dji_mavic_pro_84.fw,fw,4651787,2b448dae986ba77f173f2a27ff84f4db2ad0754d23c4aa146ad6fe4871cb0341,1,RSA,0,1,MIPS,Linux,1,SquashFS,6.79,6.5,7.07,19401,4,1,0,0,31,2152,233,1
FW0085,ArduPilot,Cube Orange,v1.8.2,ardupilot_cube_orange_85.fw,fw,27862617,e900cf52d35c349f12f4cee20a06d7b803cee1cceb23fe2c1e6c732426155999,1,ECDSA,1,1,ARM,RTOS,1,YAFFS,6.26,5.6,7.65,9609,1,1,1,0,7,2426,251,1
FW0086,ArduPilot,Cube Orange,v1.0.4,ardupilot_cube_orange_86.fw,fw,31269218,e954a17565729c8be4f3b941ed50f4d49ac2d473f4d80f08cdce33fd5c2b5554,1,RSA,1,1,MIPS,Bare-metal,1,None,6.64,7.01,6.95,18522,8,2,0,0,26,1465,237,1
FW0087,ArduPilot,Cube Black,v3.4.9,ardupilot_cube_black_87.fw,fw,8247804,b5baccb5ff0af13976a1d755c0d75358110233a716489697b43db49397a29260,1,RSA,0,1,MIPS,Bare-metal,1,YAFFS,5.94,6.64,7.0,6607,8,2,0,0,21,2371,110,1
FW0088,ArduPilot,Cube Black,v5.0.4,ardupilot_cube_black_88.img,img,12131621,88ff96028707d7e417258405f62301cda36037f08579feae657575ec43292aca,1,ECDSA,0,0,ARM,RTOS,1,YAFFS,6.06,6.67,7.82,12190,2,2,1,2,19,1697,295,1
FW0089,Parrot,Bebop 2,v3.6.8,parrot_bebop_2_89.bin,bin,17266550,38cba8496c5b31f5d280968699a0fafe507c0763aa19b6a4b2a75eca194179d7,1,ECDSA,0,0,ARM,Bare-metal,1,YAFFS,6.65,6.12,7.81,5676,1,1,0,0,25,2931,163,1
FW0090,DJI,Mini 3,v4.1.8,dji_mini_3_90.bin,bin,26055775,6e9517cf6b5c09fae4c80ab4d0229cb0b8bbd6b916f3b35d3ddb7bd7fce4dd5a,1,ECDSA,0,1,ARM,Bare-metal,1,YAFFS,6.53,5.6,7.31,12098,1,3,1,0,18,1099,61,1
FW0091,ArduPilot,Cube Black,v1.1.7,ardupilot_cube_black_91.fw,fw,4139427,9fb7b6bee500de5f0717f09c07b0b1387c84ab226723f86878f77ead27d51506,1,RSA,1,1,ARM,Linux,1,None,7.37,6.6,7.26,14533,8,3,1,0,39,1344,217,1
FW0092,PX4,Pixhawk 4,v5.2.3,px4_pixhawk_4_92.bin,bin,20027403,2b9580aad5bdea43668f5a311208fdece1d4c5792b0a237e4f81accf7f567b97,1,RSA,0,1,MIPS,Bare-metal,1,None,6.67,6.4,7.71,10110,8,2,0,1,17,1262,58,1
